City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
281,Puerto Madero,MX,89.8,scattered clouds,14.7208,-92.4215,Hotel La Central
283,Jawar,IN,75.78,broken clouds,23.0,76.5,Sree balaji
288,Guerrero Negro,MX,79.88,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
290,Jizan,SA,86.94,clear sky,17.3333,42.6667,شهدان. ابوالحجر
291,Pochutla,MX,88.83,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
292,San Carlos Del Zulia,VE,86.56,broken clouds,9.0,-71.9135,Hotel El Manantial
294,Surt,LY,77.25,overcast clouds,31.2089,16.5887,الهادي ابوشعاله سرت
299,Wanning,CN,78.87,overcast clouds,18.8003,110.3967,Paradise Hotel
301,Roura,GF,85.91,clear sky,4.7263,-52.3274,Amazonie Découverte SARL
305,Sorong,ID,79.63,overcast clouds,-0.8833,131.25,waigo splash hotel
306,Mumford,GH,77.04,moderate rain,5.2618,-0.759,Spanish Villa
320,Lorengau,PG,80.55,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
321,Salalah,OM,80.69,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
322,Samut Prakan,TH,86.0,overcast clouds,13.5,100.45,bannwangchoop homestay
325,Santa Rosalia,MX,82.98,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
326,Kanniyakumari,IN,80.22,overcast clouds,8.0833,77.5667,Sparsa
328,Bathsheba,BB,81.21,light intensity shower rain,13.2167,-59.5167,Atlantis Hotel
329,Mitsamiouli,KM,76.24,few clouds,-11.3847,43.2844,Foyer ADM
343,Vallenar,CL,80.47,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
349,Katherine,AU,82.72,scattered clouds,-14.4667,132.2667,Pine Tree Motel
350,Mahibadhoo,MV,82.29,overcast clouds,3.7833,72.9667,Omadhoo Inn
352,Buraydah,SA,84.65,clear sky,26.326,43.975,فندق راحة السلام
353,Bushehr,IR,75.29,clear sky,28.9684,50.8385,Yas Hotel
358,Banjar,ID,75.06,broken clouds,-8.19,114.9675,The Hamsa Resort
359,Kutum,SD,84.81,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
364,Baghdad,IQ,76.91,clear sky,33.3406,44.4009,Baghdad Hotel
366,Ewa Beach,US,84.15,few clouds,21.3156,-158.0072,Uncle Junior Robert
368,Dullewala,PK,82.98,clear sky,31.8359,71.4362,Sajid fruit shop
