City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Punta Arenas,CL,2021-10-09 04:50:04,-53.15,-70.9167,39.31,70,0,10.36
68,Hobart,AU,2021-10-09 04:53:10,-42.8794,147.3294,62.46,63,40,3.0
69,Tecoanapa,MX,2021-10-09 04:53:11,16.5167,-98.75,77.72,91,100,3.27
70,Namibe,AO,2021-10-09 04:53:11,-15.1961,12.1522,62.69,81,40,3.49
71,Roverud,NO,2021-10-09 04:53:11,60.2521,12.055,55.04,99,100,3.06
72,Rio Gallegos,AR,2021-10-09 04:51:34,-51.6226,-69.2181,39.25,65,0,5.75
73,Leningradskiy,RU,2021-10-09 04:53:12,69.3833,178.4167,22.03,93,100,2.06
74,Eenhana,NA,2021-10-09 04:53:12,-17.4667,16.3333,70.95,29,13,6.31
75,Velikiy Ustyug,RU,2021-10-09 04:53:12,60.7644,46.3106,44.67,95,100,5.61
76,Norman Wells,CA,2021-10-09 04:53:13,65.282,-126.8329,33.84,93,75,5.75
77,Nikolayevskaya,RU,2021-10-09 04:53:13,47.6139,41.5023,43.81,40,60,14.52
78,Mbekenyera,TZ,2021-10-09 04:53:13,-10.0,38.9833,75.06,64,3,3.22
79,Lorengau,PG,2021-10-09 04:53:14,-2.0226,147.2712,85.37,63,60,8.32
80,Bluff,NZ,2021-10-09 04:53:14,-46.6,168.3333,53.8,68,35,7.43
81,Alice Springs,AU,2021-10-09 04:53:15,-23.7,133.8833,99.95,8,2,19.57
82,Gawler,AU,2021-10-09 04:49:42,-34.6,138.7333,69.6,64,70,15.17
83,West Fargo,US,2021-10-09 04:51:05,46.875,-96.9004,64.45,82,90,5.99
84,Faanui,PF,2021-10-09 04:53:15,-16.4833,-151.75,78.64,69,19,4.21
85,Sitka,US,2021-10-09 04:53:15,57.0531,-135.33,49.89,76,90,17.27
86,Jackson,US,2021-10-09 04:50:37,42.4165,-122.8345,52.75,67,86,0.96
87,Bengkulu,ID,2021-10-09 04:53:16,-3.8004,102.2655,85.78,67,11,13.18
88,Korla,CN,2021-10-09 04:53:16,41.7597,86.1469,47.34,30,0,8.08
89,Tera,NE,2021-10-09 04:53:17,14.0078,0.7531,83.44,23,56,2.13
90,Rutul,RU,2021-10-09 04:53:17,41.5357,47.4239,38.3,55,14,2.71
91,Auki,SB,2021-10-09 04:53:17,-8.7676,160.7034,83.39,73,63,1.88
92,Mindelo,CV,2021-10-09 04:53:18,16.8901,-24.9804,78.35,83,40,13.8
93,Green Valley,US,2021-10-09 04:53:18,31.8543,-110.9937,77.07,42,3,6.22
94,Vaini,TO,2021-10-09 04:53:18,-21.2,-175.2,80.76,89,20,4.61
95,Itarema,BR,2021-10-09 04:53:09,-2.9248,-39.9167,79.57,78,82,15.01
96,Hilo,US,2021-10-09 04:53:40,19.7297,-155.09,75.27,90,99,5.01
97,Delijan,IR,2021-10-09 04:53:40,33.9905,50.6838,55.45,50,0,3.02
98,Vershino-Darasunskiy,RU,2021-10-09 04:53:40,52.35,115.5167,39.74,44,100,7.23
99,Atar,MR,2021-10-09 04:53:41,20.5169,-13.0499,84.85,12,99,10.31
100,Salinopolis,BR,2021-10-09 04:53:41,-0.6136,-47.3561,78.85,86,35,7.92
101,Noci,IT,2021-10-09 04:53:42,40.7907,17.1317,56.48,100,40,6.91
102,Manggar,ID,2021-10-09 04:53:42,-2.8833,108.2667,86.02,65,88,11.74
103,Praia Da Vitoria,PT,2021-10-09 04:49:06,38.7333,-27.0667,66.76,77,20,11.43
104,Ilulissat,GL,2021-10-09 04:53:42,69.2167,-51.1,9.86,69,27,6.58
105,Coquimbo,CL,2021-10-09 04:51:20,-29.9533,-71.3436,51.53,87,0,6.91
106,Butaritari,KI,2021-10-09 04:53:07,3.0707,172.7902,82.2,77,13,14.97
107,Barrow,US,2021-10-09 04:53:43,71.2906,-156.7887,28.2,93,100,16.31
108,Iskateley,RU,2021-10-09 04:53:43,67.6803,53.1512,35.2,65,99,11.81
109,Coahuayana,MX,2021-10-09 04:53:44,18.7333,-103.6833,79.14,91,99,3.83
110,Vrangel,RU,2021-10-09 04:53:44,42.7297,133.0839,63.61,63,78,9.31
111,Provideniya,RU,2021-10-09 04:53:44,64.3833,-173.3,32.25,84,100,7.34
112,Bubaque,GW,2021-10-09 04:53:45,11.2833,-15.8333,82.81,78,98,9.62
113,Kilindoni,TZ,2021-10-09 04:53:45,-7.9139,39.6668,78.1,73,3,11.18
114,Seguela,CI,2021-10-09 04:53:45,7.9611,-6.6731,70.66,96,93,3.6
115,Alghero,IT,2021-10-09 04:53:46,40.5589,8.3181,53.69,94,0,2.3
116,San Blas,MX,2021-10-09 04:53:46,21.5167,-105.2667,82.78,86,58,2.17
117,Gainesville,US,2021-10-09 04:53:46,29.6516,-82.3248,73.74,89,90,0.0
118,Dalvik,IS,2021-10-09 04:53:47,65.9702,-18.5286,40.93,97,100,1.45
119,Illela,NG,2021-10-09 04:53:47,13.7292,5.2975,81.97,29,13,8.12
120,Namatanai,PG,2021-10-09 04:53:47,-3.6667,152.4333,79.05,86,100,6.71
121,Bemidji,US,2021-10-09 04:53:48,47.4736,-94.8803,62.89,100,90,6.91
122,Lakes Entrance,AU,2021-10-09 04:53:48,-37.8811,147.981,80.17,41,100,2.46
123,Jagraon,IN,2021-10-09 04:53:49,30.7833,75.4833,89.28,30,0,3.85
124,Gigmoto,PH,2021-10-09 04:53:49,13.7796,124.39,81.45,89,100,17.36
125,Hofn,IS,2021-10-09 04:53:49,64.2539,-15.2082,48.52,88,97,3.18
126,Lasa,IT,2021-10-09 04:53:50,46.6166,10.7002,47.28,79,7,2.46
127,Quatre Cocos,MU,2021-10-09 04:53:50,-20.2078,57.7625,74.08,75,38,15.08
128,Contai,IN,2021-10-09 04:53:50,21.7786,87.7536,87.1,70,60,0.74
129,Ponta Do Sol,PT,2021-10-09 04:53:51,32.6667,-17.1,72.23,71,77,4.43
130,Qaanaaq,GL,2021-10-09 04:52:07,77.484,-69.3632,18.52,68,79,9.17
131,Berezovyy,RU,2021-10-09 04:53:51,51.6667,135.7,50.02,60,100,3.02
132,Zyryanka,RU,2021-10-09 04:53:51,65.75,150.85,27.01,54,44,2.71
133,Sobolevo,RU,2021-10-09 04:53:52,54.4299,31.8996,35.85,82,0,3.0
134,Fort Nelson,CA,2021-10-09 04:48:59,58.8053,-122.7002,42.39,56,75,3.44
135,Road Town,VG,2021-10-09 04:53:52,18.4167,-64.6167,82.2,75,98,15.17
136,Half Moon Bay,US,2021-10-09 04:53:53,37.4636,-122.4286,58.86,82,1,0.0
137,Grindavik,IS,2021-10-09 04:53:53,63.8424,-22.4338,46.87,100,75,14.97
138,Marawi,PH,2021-10-09 04:53:53,7.9986,124.2928,70.65,94,100,2.3
139,Port Hueneme,US,2021-10-09 04:53:54,34.1478,-119.1951,62.98,83,57,6.76
140,Katsuura,JP,2021-10-09 04:53:54,35.1333,140.3,78.84,80,64,12.12
141,Georgetown,MY,2021-10-09 04:52:10,5.4112,100.3354,91.33,71,40,5.99
142,Beringovskiy,RU,2021-10-09 04:53:54,63.05,179.3167,32.22,97,100,15.32
143,Catio,GW,2021-10-09 04:53:55,11.2833,-15.25,80.02,87,93,4.5
144,Torbay,CA,2021-10-09 04:53:55,47.6666,-52.7314,47.26,91,90,42.57
145,Seoul,KR,2021-10-09 04:53:55,37.5683,126.9778,80.08,69,0,6.91
146,Vila,PT,2021-10-09 04:53:56,42.0304,-8.1588,53.33,65,100,3.15
147,Devonport,AU,2021-10-09 04:50:53,-41.1667,146.35,60.1,82,88,14.56
148,Caravelas,BR,2021-10-09 04:53:56,-17.7125,-39.2481,73.17,75,99,10.0
149,Kitimat,CA,2021-10-09 04:48:59,54.0524,-128.6534,47.91,27,100,3.0
150,Elko,US,2021-10-09 04:53:57,41.0002,-115.5012,43.74,88,100,5.99
151,Saint-Felicien,CA,2021-10-09 04:53:57,48.6501,-72.4491,50.0,87,90,3.44
152,Quimper,FR,2021-10-09 04:53:58,48.0,-4.1,52.36,93,0,3.44
153,Evensk,RU,2021-10-09 04:53:58,61.95,159.2333,30.79,44,16,0.36
154,Ejutla De Crespo,MX,2021-10-09 04:53:58,16.5667,-96.7333,60.64,90,98,4.92
155,Lubao,PH,2021-10-09 04:53:59,14.9167,120.55,90.14,62,94,2.77
156,Shieli,KZ,2021-10-09 04:53:59,44.1667,66.75,55.89,28,56,3.53
157,Sangar,RU,2021-10-09 04:53:59,63.9242,127.4739,30.11,94,100,11.07
158,Ust-Ishim,RU,2021-10-09 04:54:00,57.6935,71.1665,45.54,69,44,11.16
159,Severo-Kurilsk,RU,2021-10-09 04:54:00,50.6789,156.125,46.29,75,20,18.03
160,Adrar,MR,2021-10-09 04:54:00,20.5022,-10.0711,83.82,10,95,9.89
161,Ingham,US,2021-10-09 04:54:01,42.6,-84.3833,63.25,96,40,0.0
162,Puerto Ayacucho,VE,2021-10-09 04:54:01,5.6639,-67.6236,75.33,91,97,2.59
163,Hualmay,PE,2021-10-09 04:54:01,-11.0964,-77.6139,61.88,92,77,9.71
164,Yerbogachen,RU,2021-10-09 04:54:02,61.2767,108.0108,35.15,96,100,14.47
165,Padang,ID,2021-10-09 04:54:02,-0.9492,100.3543,86.05,71,84,5.37
166,Havre,FR,2021-10-09 04:54:03,49.5833,0.3333,48.58,93,4,4.61
167,Nizwa,OM,2021-10-09 04:54:03,22.9333,57.5333,88.27,30,1,2.28
